thickness,wavelength,fom
29.76,1099.0,627.3794667000001
29.77,1099.0,707.6840384
29.78,1099.0,826.7336897999999
29.79,1099.0,1040.711821
29.8,1099.0,1638.157496
29.81,1099.0,2527.442994
29.82,1099.0,1195.412227
29.83,1099.0,902.6582123
29.84,1099.0,752.85536
29.76,1099.01,629.6112645
29.77,1099.01,710.525162
29.78,1099.01,834.5319119
29.79,1099.01,1053.099794
29.8,1099.01,1638.155235
29.81,1099.01,2297.672277
29.82,1099.01,1187.387687
29.83,1099.01,898.0749509
29.84,1099.01,749.6642598999999
29.76,1099.02,629.6103952000001
29.77,1099.02,710.524181
29.78,1099.02,834.5307597
29.79,1099.02,1053.09834
29.8,1099.02,1623.1240460000001
29.81,1099.02,2057.215361
29.82,1099.02,1172.11374
29.83,1099.02,889.0478445
29.84,1099.02,749.6632248
29.76,1099.03,632.1033227999999
29.77,1099.03,713.6650417999999
29.78,1099.03,838.8100966
29.79,1099.03,1059.813954
29.8,1099.03,1593.876368
29.81,1099.03,1987.8682789999998
29.82,1099.03,1163.9491890000002
29.83,1099.03,889.0466171
29.84,1099.03,746.4990582
29.76,1099.04,634.3680502999999
29.77,1099.04,713.6640565
29.78,1099.04,838.4835665
29.79,1099.04,1065.7833289999999
29.8,1099.04,1684.952691
29.81,1099.04,2106.190864
29.82,1099.04,1163.947582
29.83,1099.04,884.6001627
29.84,1099.04,743.3614812000001
29.76,1099.05,636.4021161000001
29.77,1099.05,719.1861312000001
29.78,1099.05,842.4751822999999
29.79,1099.05,1078.779197
29.8,1099.05,1734.507728
29.81,1099.05,2157.558394
29.82,1099.05,1163.945976
29.83,1099.05,884.5989414
29.84,1099.05,743.360455
29.76,1099.06,636.4012375
29.77,1099.06,719.1851383999999
29.78,1099.06,850.574731
29.79,1099.06,1085.395976
29.8,1099.06,1805.3014699999999
29.81,1099.06,2106.185048
29.82,1099.06,1148.828208
29.83,1099.06,880.1967365
29.84,1099.06,740.2491382000001
29.76,1099.07,638.6978332
29.77,1099.07,722.119591
29.78,1099.07,850.5735566999999
29.79,1099.07,1092.094443
29.8,1099.07,1787.063634
29.81,1099.07,1965.769998
29.82,1099.07,1126.8745210000002
29.83,1099.07,871.5236443
29.84,1099.07,737.1637492000001
29.76,1099.08,638.6969515
29.77,1099.08,722.1185941000001
29.78,1099.08,854.6814277999999
29.79,1099.08,1092.092936
29.8,1099.08,1751.673817
29.81,1099.08,1823.907789
29.82,1099.08,1112.6984630000002
29.83,1099.08,871.5224412
29.84,1099.08,734.103965
29.76,1099.09,641.2589287999999
29.77,1099.09,728.3434747
29.78,1099.09,855.0119051
29.79,1099.09,1099.301021
29.8,1099.09,1751.6713989999998
29.81,1099.09,1823.905271
29.82,1099.09,1119.739312
29.83,1099.09,867.2490752
29.84,1099.09,731.0694682999999
29.76,1099.1,641.2580436000001
29.77,1099.1,728.059947
29.78,1099.1,858.8279957000001
29.79,1099.1,1105.7410439999999
29.8,1099.1,1862.3007059999998
29.81,1099.1,1882.112416
29.82,1099.1,1119.737767
29.83,1099.1,867.2478779999999
29.84,1099.1,731.0684591
29.76,1099.11,643.339356
29.77,1099.11,731.06745
29.78,1099.11,867.2466809
29.79,1099.11,1119.7362210000001
29.8,1099.11,1965.759143
29.81,1099.11,1882.109818
29.82,1099.11,1105.7395179999999
29.83,1099.11,863.0162093
29.84,1099.11,728.058942
29.76,1099.12,645.6864186
29.77,1099.12,731.0664409
29.78,1099.12,867.2454838
29.79,1099.12,1134.090248
29.8,1099.12,2010.432712
29.81,1099.12,1842.896653
29.82,1099.12,1098.870054
29.83,1099.12,854.6767086000001
29.84,1099.12,728.057937
29.76,1099.13,648.0506757999999
29.77,1099.13,737.1576437000001
29.78,1099.13,875.8308638
29.79,1099.13,1134.088683
29.8,1099.13,1987.8408370000002
29.81,1099.13,1751.661728
29.82,1099.13,1085.3854880000001
29.83,1099.13,854.6755288999999
29.84,1099.13,721.8333953
29.76,1099.14,648.0497813
29.77,1099.14,737.1566262
29.78,1099.14,875.8296549
29.79,1099.14,1141.403808
29.8,1099.14,1902.339681
29.81,1099.14,1653.4354230000001
29.82,1099.14,1072.2278199999998
29.83,1099.14,846.4956473
29.84,1099.14,722.1126134
29.76,1099.15,648.3003609
29.77,1099.15,740.5271905000001
29.78,1099.15,880.5273559000001
29.79,1099.15,1141.402233
29.8,1099.15,1944.14666
29.81,1099.15,1684.9271059999999
29.82,1099.15,1072.22634
29.83,1099.15,846.4944788999999
29.84,1099.15,719.1762036
29.76,1099.16,650.4305217
29.77,1099.16,740.2389201000001
29.78,1099.16,884.5855096000001
29.79,1099.16,1156.3209279999999
29.8,1099.16,2131.531348
29.81,1099.16,1701.12598
29.82,1099.16,1072.22486
29.83,1099.16,842.46239
29.84,1099.16,719.175211
29.76,1099.17,652.8297332999999
29.77,1099.17,743.3481417
29.78,1099.17,889.0294357999999
29.79,1099.17,1171.6348189999999
29.8,1099.17,2268.164843
29.81,1099.17,1701.123632
29.82,1099.17,1065.764203
29.83,1099.17,842.4612273
29.84,1099.17,716.2625819
29.76,1099.18,655.2467169
29.77,1099.18,746.4836015
29.78,1099.18,893.5182502999999
29.79,1099.18,1179.44409
29.8,1099.18,2327.850178
29.81,1099.18,1653.426295
29.82,1099.18,1059.3809199999998
29.83,1099.18,838.4673627999999
29.84,1099.18,713.3734417999999
29.76,1099.19,657.6816706000001
29.77,1099.19,749.645633
29.78,1099.19,898.0526365000001
29.79,1099.19,1187.358184
29.8,1099.19,2239.447714
29.81,1099.19,1593.841166
29.82,1099.19,1046.8424220000002
29.83,1099.19,830.5932835
29.84,1099.19,710.2317965
29.76,1099.2,657.6807629
29.77,1099.2,752.8345755
29.78,1099.2,898.0513971
29.79,1099.2,1187.3565449999999
29.8,1099.2,2033.5186809999998
29.81,1099.2,1537.8041150000001
29.82,1099.2,1034.597224
29.83,1099.2,830.5921372
29.84,1099.2,710.506527
29.76,1099.21,657.9350667
29.77,1099.21,753.1256721
29.78,1099.21,898.0501578
29.79,1099.21,1195.377575
29.8,1099.21,2239.4415329999997
29.81,1099.21,1565.627266
29.82,1099.21,1040.6816529999999
29.83,1099.21,826.7097247
29.84,1099.21,707.6635243
29.76,1099.22,660.1329736
29.77,1099.22,756.0497305
29.78,1099.22,907.2596766
29.79,1099.22,1211.7509380000001
29.8,1099.22,2563.994738
29.81,1099.22,1579.603901
29.82,1099.22,1028.579284
29.83,1099.22,826.7085837999999
29.84,1099.22,707.6625477000001
29.76,1099.23,665.0954616
29.77,1099.23,756.0486871
29.78,1099.23,911.9350143999999
29.79,1099.23,1228.579117
29.8,1099.23,2853.474077
29.81,1099.23,1551.88941
29.82,1099.23,1028.577865
29.83,1099.23,822.862292
29.84,1099.23,704.8422022999999
29.76,1099.24,665.0945437999999
29.77,1099.24,762.5652959
29.78,1099.24,921.4330659
29.79,1099.24,1245.8813289999998
29.8,1099.24,2808.176963
29.81,1099.24,1525.130592
29.82,1099.24,1016.7537279999999
29.83,1099.24,815.2771827
29.84,1099.24,702.0442407
29.76,1099.25,667.6034132999999
29.77,1099.25,765.8653875
29.78,1099.25,921.4317944000001
29.79,1099.25,1245.879609
29.8,1099.25,2491.759219
29.81,1099.25,1462.106649
29.82,1099.25,1010.9423119999999
29.83,1099.25,811.2213442000001
29.84,1099.25,698.9970475
29.76,1099.26,667.6024921000001
29.77,1099.26,765.8643307
29.78,1099.26,926.2547665
29.79,1099.26,1237.165457
29.8,1099.26,2183.284062
29.81,1099.26,1437.772431
29.82,1099.26,1005.1969339999999
29.83,1099.26,811.5351393999999
